id,created_at,updated_at,deleted_at,title,selected_type,file
842,2019-07-30 01:17:04.604673+03,2019-07-30 01:17:04.604673+03,,,,"{""FileName"":""624_1.JPG"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/842/file.JPG"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
843,2019-08-08 21:08:57.249192+03,2019-08-08 21:08:57.249192+03,,,,"{""FileName"":""dindin.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/843/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
844,2019-08-08 23:50:37.55884+03,2019-08-08 23:50:37.55884+03,,,,"{""FileName"":""dindinsss.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/844/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
845,2019-08-08 23:54:37.98948+03,2019-08-08 23:54:37.98948+03,,,,"{""FileName"":""dindinsss.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/845/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
846,2019-08-09 00:07:58.523104+03,2019-08-09 00:07:58.523104+03,,,,"{""FileName"":""dindinsss.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/846/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
847,2019-08-09 20:38:23.371463+03,2019-08-09 20:38:23.371463+03,,,,"{""FileName"":""684012.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/847/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
848,2019-08-09 20:45:42.269708+03,2019-08-09 20:45:42.269708+03,,,,"{""FileName"":""684014.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/848/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
849,2019-08-10 03:02:32.098346+03,2019-08-10 03:02:32.098346+03,,,,"{""FileName"":""mdeutsch.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/849/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
850,2019-08-12 20:33:52.791404+03,2019-08-12 20:33:52.791404+03,,,,"{""FileName"":""622BCypressValveBank.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/850/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
883,2019-08-16 04:38:10.897385+03,2019-08-16 04:38:10.897385+03,,,,"{""FileName"":""wire.png"",""Url"":""//axisforestry.s3.amazonaws.com/figure_images/883/file.png"",""Video"":"""",""SelectedType"":"""",""Description"":""""}"
